Dataset, Model, Seed, Aug, BestEpoch, TestAcc, TestLoss, ValAcc, ValLoss, Device, Time
IMDB-BINARY, MinCutPool, 41314, Vanilla, 3, 0.725000, 0.5126, 0.750000, 0.5028, cpu, 176.25
IMDB-BINARY, MinCutPool, 41314, G-Mixup, 3, 0.710000, 0.5161, 0.740000, 0.5052, cpu, 212.03
IMDB-BINARY, MinCutPool, 41314, Subgraph, 15, 0.755000, 0.5508, 0.740000, 0.5682, cpu, 75.61
IMDB-BINARY, MinCutPool, 41314, DropEdge, 3, 0.785000, 0.4817, 0.730000, 0.4885, cpu, 118.91
IMDB-BINARY, MinCutPool, 41314, DropNode, 18, 0.760000, 0.4880, 0.750000, 0.5114, cpu, 84.64
IMDB-BINARY, MinCutPool, 51314, Vanilla, 19, 0.685000, 0.6691, 0.830000, 0.3866, cpu, 180.69
IMDB-BINARY, MinCutPool, 51314, G-Mixup, 26, 0.705000, 0.5745, 0.850000, 0.3411, cpu, 217.84
IMDB-BINARY, MinCutPool, 51314, Subgraph, 11, 0.705000, 0.5570, 0.840000, 0.3849, cpu, 82.61
IMDB-BINARY, MinCutPool, 51314, DropEdge, 4, 0.720000, 0.5299, 0.840000, 0.4209, cpu, 134.72
IMDB-BINARY, MinCutPool, 51314, DropNode, 6, 0.720000, 0.5703, 0.830000, 0.3981, cpu, 80.65
IMDB-BINARY, MinCutPool, 61314, Vanilla, 5, 0.760000, 0.4914, 0.810000, 0.5185, cpu, 167.90
IMDB-BINARY, MinCutPool, 61314, G-Mixup, 5, 0.730000, 0.4851, 0.770000, 0.5363, cpu, 202.37
IMDB-BINARY, MinCutPool, 61314, Subgraph, 8, 0.725000, 0.4982, 0.800000, 0.5152, cpu, 81.72
IMDB-BINARY, MinCutPool, 61314, DropEdge, 5, 0.745000, 0.4791, 0.780000, 0.5442, cpu, 121.44
IMDB-BINARY, MinCutPool, 61314, DropNode, 9, 0.745000, 0.4768, 0.780000, 0.5265, cpu, 83.45
IMDB-BINARY, MinCutPool, 71314, Vanilla, 6, 0.715000, 0.5103, 0.770000, 0.5118, cpu, 177.55
IMDB-BINARY, MinCutPool, 71314, G-Mixup, 4, 0.710000, 0.5150, 0.750000, 0.5171, cpu, 222.77
IMDB-BINARY, MinCutPool, 71314, Subgraph, 3, 0.710000, 0.5038, 0.790000, 0.5070, cpu, 78.90
IMDB-BINARY, MinCutPool, 71314, DropEdge, 5, 0.685000, 0.5461, 0.740000, 0.5546, cpu, 113.05
IMDB-BINARY, MinCutPool, 71314, DropNode, 5, 0.705000, 0.4977, 0.770000, 0.5250, cpu, 82.52
IMDB-BINARY, MinCutPool, 0, Vanilla, 76, 0.700000, 1.2367, 0.810000, 1.1998, cpu, 170.26
IMDB-BINARY, MinCutPool, 0, G-Mixup, 22, 0.670000, 0.6449, 0.780000, 0.4995, cpu, 204.28
IMDB-BINARY, MinCutPool, 0, Subgraph, 2, 0.665000, 0.5937, 0.780000, 0.4704, cpu, 89.38
IMDB-BINARY, MinCutPool, 0, DropEdge, 4, 0.665000, 0.5869, 0.780000, 0.4958, cpu, 128.87
IMDB-BINARY, MinCutPool, 0, DropNode, 15, 0.695000, 0.5939, 0.770000, 0.4947, cpu, 89.82
IMDB-BINARY, MinCutPool, 546464, Vanilla, 11, 0.740000, 0.5125, 0.760000, 0.5245, cpu, 179.27
IMDB-BINARY, MinCutPool, 546464, G-Mixup, 2, 0.725000, 0.5417, 0.740000, 0.5481, cpu, 203.24
IMDB-BINARY, MinCutPool, 546464, Subgraph, 11, 0.750000, 0.5487, 0.750000, 0.5848, cpu, 67.40
IMDB-BINARY, MinCutPool, 546464, DropEdge, 14, 0.750000, 0.5079, 0.760000, 0.5273, cpu, 100.44
IMDB-BINARY, MinCutPool, 546464, DropNode, 5, 0.745000, 0.5361, 0.780000, 0.5434, cpu, 69.85
IMDB-BINARY, DiffPool, 1314, Vanilla, 9, 0.675000, 0.5491, 0.710000, 0.6009, cpu, 503.26
IMDB-BINARY, DiffPool, 1314, G-Mixup, 70, 0.680000, 0.6371, 0.710000, 0.7578, cpu, 673.30
IMDB-BINARY, DiffPool, 1314, Subgraph, 16, 0.680000, 0.6456, 0.710000, 0.8984, cpu, 232.20
IMDB-BINARY, DiffPool, 1314, DropEdge, 26, 0.685000, 0.6452, 0.680000, 0.8114, cpu, 598.40
IMDB-BINARY, DiffPool, 1314, DropNode, 68, 0.725000, 1.0012, 0.710000, 1.4605, cpu, 266.83
IMDB-BINARY, DiffPool, 11314, Vanilla, 45, 0.735000, 0.8379, 0.750000, 0.6335, cpu, 591.72
IMDB-BINARY, DiffPool, 11314, G-Mixup, 28, 0.725000, 0.6925, 0.770000, 0.5038, cpu, 664.94
IMDB-BINARY, DiffPool, 11314, Subgraph, 43, 0.650000, 0.7993, 0.760000, 0.6524, cpu, 262.03
IMDB-BINARY, DiffPool, 11314, DropEdge, 48, 0.715000, 0.7220, 0.760000, 0.6982, cpu, 621.25
IMDB-BINARY, DiffPool, 11314, DropNode, 56, 0.700000, 1.0187, 0.750000, 0.9106, cpu, 255.48
IMDB-BINARY, DiffPool, 21314, Vanilla, 71, 0.715000, 0.7226, 0.820000, 0.4986, cpu, 555.48
IMDB-BINARY, DiffPool, 21314, G-Mixup, 16, 0.700000, 0.5583, 0.810000, 0.4961, cpu, 664.03
